Key,English (en),Spanish (Spain) (es-ES)
G001,Start Game,Iniciar Juego
G002,Continue,Continuar
G003,Settings,Ajustes
G004,Exit Game,Salir del Juego
G005,Apply,Aplicar
G006,Back,Volver
G007,Restart,Reiniciar
G008,Game Over,Fin de la Partida
G009,Loading... {0}%,Cargando... {0}%
G010,Press E to interact,Pulsa E para interactuar
G011,Press E to pick up the flashlight,Pulsa E para recoger la linterna
G012,Press E to open the door,Pulsa E para abrir la puerta
G013,Press E to interact with {0},Pulsa E para interactuar con {0}
G014,Press E to view {0}'s story,Pulsa E para ver la historia de {0}
G015,Press E to close {0}'s story,Pulsa E para cerrar la historia de {0}
G016,You need to find a light source...,Necesitas encontrar una fuente de luz...
G017,{0} Statue Collected!,¡Estatua de {0} recogida!
G018,Use &lt;color=#FFD700>WASD&lt;/color> to move,Usa &lt;color=#FFD700>WASD&lt;/color> para moverte
G019,Press &lt;color=#FFD700>SPACE&lt;/color> to jump,Pulsa &lt;color=#FFD700>ESPACIO&lt;/color> para saltar
G020,&lt;color=#FF0000>RUN!&lt;/color> Press &lt;color=#FFD700>SHIFT&lt;/color> to sprint and escape the house,&lt;color=#FF0000>¡CORRE!&lt;/color> Pulsa &lt;color=#FFD700>SHIFT&lt;/color> para esprintar y escapar de la casa
G021,Learn to lock onto your target:\nPress &lt;color=#FFD700>Q&lt;/color> to focus on a nearby enemy.\n\nKeeping them in your sights will make combat easier. Focus and don't lose track of them!\n\n&lt;size=80%>[Press E to continue]&lt;/size>,Aprende a fijar tu objetivo:\nPulsa &lt;color=#FFD700>Q&lt;/color> para centrarte en un enemigo cercano.\n\nMantenerlo en tu mira facilitará el combate. ¡Concéntrate y no lo pierdas de vista!\n\n&lt;size=80%>[Pulsa E para continuar]&lt;/size>
G022,"Now that you can lock onto enemies, take the next step:\nHold &lt;color=#FFD700>Right Click&lt;/color> to aim precisely at the locked-on enemy.\n\nAiming is key to victory!\n\n&lt;size=80%>[Press E to continue]&lt;/size>","Ahora que puedes fijar enemigos, da el siguiente paso:\nMantén &lt;color=#FFD700>Click Derecho&lt;/color> para apuntar con precisión al enemigo fijado.\n\n¡Apuntar es clave para la victoria!\n\n&lt;size=80%>[Pulsa E para continuar]&lt;/size>"
